time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449500000	17.7958	18.278	4.64677	2.35782	0.531323	lidar	1.07659	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6706	18.451	4.59731	2.36494	0.502642	radar	6.53897	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4589	18.6502	4.75885	2.39362	0.506602	lidar	0.621896	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2834	18.7862	4.7106	2.42954	0.526079	radar	1.77829	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1307	18.915	4.61627	2.45409	0.524172	lidar	0.212959	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9636	19.0851	4.63709	2.46617	0.502751	radar	3.05297	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7409	19.2064	4.67519	2.50699	0.519236	lidar	2.75107	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5459	19.364	4.72905	2.53121	0.522059	radar	3.27205	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3011	19.5421	4.907	2.55612	0.52017	lidar	0.748867	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0804	19.6226	4.85969	2.60824	0.560291	radar	10.1489	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8713	19.7689	4.89826	2.6283	0.551778	lidar	0.700959	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6896	19.8887	4.78723	2.63302	0.502619	radar	3.27362	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4438	20.0531	4.94162	2.6492	0.492094	lidar	1.07129	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2194	20.2045	5.00153	2.65929	0.470296	radar	5.46967	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0471	20.3238	4.89991	2.67238	0.460274	lidar	2.0228	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8148	20.4072	4.90549	2.71036	0.484016	radar	2.17617	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6035	20.5229	4.89931	2.72751	0.47674	lidar	0.599757	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3578	20.6159	4.97003	2.76304	0.501601	radar	1.20084	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1146	20.6867	4.97256	2.79572	0.509503	lidar	0.677649	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8709	20.7624	5.01338	2.83017	0.528809	radar	0.312596	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5901	20.8285	5.10078	2.86397	0.535514	lidar	1.38784	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3336	20.8644	5.16004	2.91544	0.583784	radar	2.24574	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0996	20.8959	5.09339	2.95103	0.591446	lidar	0.272954	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8665	20.9558	5.05156	2.9718	0.578859	radar	1.86013	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6959	20.9828	4.85263	3.0007	0.582565	lidar	2.22899	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4352	21.0279	4.92417	3.0267	0.580234	radar	2.52009	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.19	21.0636	4.93357	3.05174	0.575793	lidar	0.12914	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9522	21.0833	4.93667	3.08267	0.583004	radar	0.954357	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7199	21.0482	4.87271	3.12926	0.603116	lidar	1.90911	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
